town,flat_type,resale_price
TAMPINES,MULTI-GENERATION,990000
TAMPINES,MULTI-GENERATION,920000
TAMPINES,MULTI-GENERATION,865000
TAMPINES,MULTI-GENERATION,860000
TAMPINES,MULTI-GENERATION,850000
TAMPINES,MULTI-GENERATION,850000
TAMPINES,MULTI-GENERATION,850000
TAMPINES,MULTI-GENERATION,850000
TAMPINES,MULTI-GENERATION,848000
TAMPINES,MULTI-GENERATION,840000
TAMPINES,MULTI-GENERATION,830000
TAMPINES,MULTI-GENERATION,828000
TAMPINES,MULTI-GENERATION,815000
TAMPINES,MULTI-GENERATION,800000
TAMPINES,MULTI-GENERATION,778000
TAMPINES,MULTI-GENERATION,695000
TAMPINES,MULTI-GENERATION,695000
TAMPINES,MULTI-GENERATION,683888
TAMPINES,MULTI-GENERATION,670000
TAMPINES,MULTI-GENERATION,630000
TAMPINES,MULTI-GENERATION,600000
TAMPINES,EXECUTIVE,998000
TAMPINES,EXECUTIVE,950000
TAMPINES,EXECUTIVE,950000
TAMPINES,EXECUTIVE,945000
JURONG EAST,EXECUTIVE,925000
TAMPINES,EXECUTIVE,915000
TAMPINES,EXECUTIVE,915000
TAMPINES,EXECUTIVE,915000
TAMPINES,EXECUTIVE,912000
TAMPINES,EXECUTIVE,912000
JURONG EAST,EXECUTIVE,900101
JURONG EAST,EXECUTIVE,900000
TAMPINES,EXECUTIVE,900000
JURONG EAST,EXECUTIVE,898000
JURONG EAST,EXECUTIVE,898000
TAMPINES,EXECUTIVE,895000
TAMPINES,EXECUTIVE,892800
TAMPINES,EXECUTIVE,891888
JURONG EAST,EXECUTIVE,890000
TAMPINES,EXECUTIVE,890000
TAMPINES,EXECUTIVE,888888
JURONG EAST,EXECUTIVE,888000
TAMPINES,EXECUTIVE,886000
JURONG EAST,EXECUTIVE,885000
JURONG EAST,EXECUTIVE,885000
JURONG EAST,EXECUTIVE,885000
TAMPINES,EXECUTIVE,885000
TAMPINES,EXECUTIVE,883000
JURONG EAST,EXECUTIVE,880000
TAMPINES,EXECUTIVE,880000
TAMPINES,EXECUTIVE,880000
TAMPINES,EXECUTIVE,880000
JURONG EAST,EXECUTIVE,870000
TAMPINES,EXECUTIVE,870000
JURONG EAST,EXECUTIVE,868000
TAMPINES,EXECUTIVE,868000
JURONG EAST,EXECUTIVE,865000
TAMPINES,EXECUTIVE,865000
TAMPINES,EXECUTIVE,863000
JURONG EAST,EXECUTIVE,860000
TAMPINES,EXECUTIVE,860000
TAMPINES,EXECUTIVE,860000
JURONG EAST,EXECUTIVE,858000
TAMPINES,EXECUTIVE,858000
TAMPINES,EXECUTIVE,857000
JURONG EAST,EXECUTIVE,855000
JURONG EAST,EXECUTIVE,855000
TAMPINES,EXECUTIVE,855000
JURONG EAST,EXECUTIVE,852008
JURONG EAST,EXECUTIVE,850000
JURONG EAST,EXECUTIVE,850000
JURONG EAST,EXECUTIVE,850000
JURONG EAST,EXECUTIVE,850000
JURONG EAST,EXECUTIVE,850000
JURONG EAST,EXECUTIVE,850000
JURONG EAST,EXECUTIVE,850000
TAMPINES,EXECUTIVE,850000
TAMPINES,EXECUTIVE,850000
TAMPINES,EXECUTIVE,848888
JURONG EAST,EXECUTIVE,848000
TAMPINES,EXECUTIVE,846000
JURONG EAST,EXECUTIVE,845000
TAMPINES,EXECUTIVE,845000
TAMPINES,EXECUTIVE,845000
TAMPINES,EXECUTIVE,840000
TAMPINES,EXECUTIVE,840000
TAMPINES,EXECUTIVE,840000
JURONG EAST,EXECUTIVE,838000
TAMPINES,EXECUTIVE,838000
TAMPINES,EXECUTIVE,838000
TAMPINES,EXECUTIVE,838000
TAMPINES,EXECUTIVE,836500
JURONG EAST,EXECUTIVE,833000
JURONG EAST,EXECUTIVE,832000
JURONG EAST,EXECUTIVE,830000
TAMPINES,EXECUTIVE,830000
TAMPINES,EXECUTIVE,830000
TAMPINES,EXECUTIVE,830000
TAMPINES,EXECUTIVE,830000
TAMPINES,EXECUTIVE,830000
TAMPINES,EXECUTIVE,830000
TAMPINES,EXECUTIVE,830000
TAMPINES,EXECUTIVE,830000
TAMPINES,EXECUTIVE,830000
TAMPINES,EXECUTIVE,830000
TAMPINES,EXECUTIVE,830000
TAMPINES,EXECUTIVE,830000
JURONG EAST,EXECUTIVE,828000
JURONG EAST,EXECUTIVE,828000
TAMPINES,EXECUTIVE,828000
TAMPINES,EXECUTIVE,828000
TAMPINES,EXECUTIVE,828000
JURONG EAST,EXECUTIVE,826000
JURONG EAST,EXECUTIVE,825100
JURONG EAST,EXECUTIVE,825000
JURONG EAST,EXECUTIVE,825000
TAMPINES,EXECUTIVE,825000
JURONG EAST,EXECUTIVE,823000
TAMPINES,EXECUTIVE,823000
JURONG EAST,EXECUTIVE,822000
JURONG EAST,EXECUTIVE,820000
JURONG EAST,EXECUTIVE,820000
JURONG EAST,EXECUTIVE,820000
JURONG EAST,EXECUTIVE,820000
JURONG EAST,EXECUTIVE,820000
JURONG EAST,EXECUTIVE,820000
TAMPINES,EXECUTIVE,820000
TAMPINES,EXECUTIVE,820000
TAMPINES,EXECUTIVE,820000
TAMPINES,EXECUTIVE,820000
TAMPINES,EXECUTIVE,820000
TAMPINES,EXECUTIVE,820000
TAMPINES,EXECUTIVE,820000
TAMPINES,EXECUTIVE,820000
JURONG EAST,EXECUTIVE,818000
JURONG EAST,EXECUTIVE,818000
TAMPINES,EXECUTIVE,818000
TAMPINES,EXECUTIVE,818000
TAMPINES,EXECUTIVE,818000
TAMPINES,EXECUTIVE,818000
JURONG EAST,EXECUTIVE,815000
TAMPINES,EXECUTIVE,815000
TAMPINES,EXECUTIVE,815000
TAMPINES,EXECUTIVE,815000
TAMPINES,EXECUTIVE,815000
TAMPINES,EXECUTIVE,813000
TAMPINES,EXECUTIVE,812000
JURONG EAST,EXECUTIVE,811000
JURONG EAST,EXECUTIVE,810000
JURONG EAST,EXECUTIVE,810000
JURONG EAST,EXECUTIVE,810000
JURONG EAST,EXECUTIVE,810000
JURONG EAST,EXECUTIVE,810000
TAMPINES,EXECUTIVE,810000
TAMPINES,EXECUTIVE,810000
TAMPINES,EXECUTIVE,810000
JURONG EAST,EXECUTIVE,808000
TAMPINES,EXECUTIVE,808000
TAMPINES,EXECUTIVE,808000
TAMPINES,EXECUTIVE,808000
TAMPINES,EXECUTIVE,808000
TAMPINES,EXECUTIVE,808000
TAMPINES,EXECUTIVE,808000
TAMPINES,EXECUTIVE,808000
TAMPINES,EXECUTIVE,808000
JURONG EAST,EXECUTIVE,806000
TAMPINES,EXECUTIVE,805000
TAMPINES,EXECUTIVE,805000
TAMPINES,EXECUTIVE,805000
TAMPINES,EXECUTIVE,803888
TAMPINES,EXECUTIVE,803698
TAMPINES,EXECUTIVE,803000
TAMPINES,EXECUTIVE,803000
TAMPINES,EXECUTIVE,803000
TAMPINES,EXECUTIVE,802000
TAMPINES,EXECUTIVE,802000
JURONG EAST,EXECUTIVE,800000
JURONG EAST,EXECUTIVE,800000
JURONG EAST,EXECUTIVE,800000
JURONG EAST,EXECUTIVE,800000
JURONG EAST,EXECUTIVE,800000
JURONG EAST,EXECUTIVE,800000
TAMPINES,EXECUTIVE,800000
TAMPINES,EXECUTIVE,800000
TAMPINES,EXECUTIVE,800000
TAMPINES,EXECUTIVE,800000
TAMPINES,EXECUTIVE,800000
TAMPINES,EXECUTIVE,800000
TAMPINES,EXECUTIVE,800000
TAMPINES,EXECUTIVE,800000
TAMPINES,EXECUTIVE,800000
TAMPINES,EXECUTIVE,800000
TAMPINES,EXECUTIVE,800000
TAMPINES,EXECUTIVE,800000
TAMPINES,EXECUTIVE,800000
TAMPINES,EXECUTIVE,800000
TAMPINES,EXECUTIVE,800000
TAMPINES,EXECUTIVE,800000
JURONG EAST,EXECUTIVE,798000
TAMPINES,EXECUTIVE,798000
TAMPINES,EXECUTIVE,798000
TAMPINES,EXECUTIVE,798000
TAMPINES,EXECUTIVE,798000
TAMPINES,EXECUTIVE,796000
JURONG EAST,EXECUTIVE,795000
TAMPINES,EXECUTIVE,795000
TAMPINES,EXECUTIVE,795000
TAMPINES,EXECUTIVE,795000
TAMPINES,EXECUTIVE,795000
TAMPINES,EXECUTIVE,795000
TAMPINES,EXECUTIVE,795000
TAMPINES,EXECUTIVE,795000
JURONG EAST,EXECUTIVE,794000
TAMPINES,EXECUTIVE,793000
JURONG EAST,EXECUTIVE,792000
TAMPINES,EXECUTIVE,790888
JURONG EAST,EXECUTIVE,790000
